DOCID,CUSTODIAN,CATEGORY,SUBCATEGORY,STORYLINE,KEY_DOCUMENT,CONFIDENTIALITY,SUGGESTED_PRIVILEGE,EXACT_DUPLICATE,FILENAME,SUBJECT_OR_TITLE
CROWN00000001,King Henry VIII,routine,concern,(routine),No,,No,No,Re the works at Eltham Palace.eml,Re: the works at Eltham Palace
CROWN00000002,Queen Anne Boleyn,routine,report,(routine),No,,No,No,The masque costumes quarterly.eml,The masque costumes (quarterly)
CROWN00000003,Thomas Cromwell,routine,report,(routine),No,,No,No,Re the Garter ceremony arrangements.eml,Re: the Garter ceremony arrangements
CROWN00000004,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re the Garter ceremony arrangements.eml,Re: the Garter ceremony arrangements
CROWN00000005,Thomas Cromwell,routine,report,(routine),No,,No,No,The repair of the great clock quarterly.eml,The repair of the great clock (quarterly)
CROWN00000006,Thomas Cromwell,routine,report,(routine),No,,No,No,Invoice_rtn-00366.xlsx,Account — the repair of the great clock
CROWN00000007,King Henry VIII,noise,it_notice,(noise),No,,No,No,Mailbox Quota Warning Thy Coffer is 90 Full.eml,Mailbox Quota Warning: Thy Coffer is 90% Full
CROWN00000008,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Garter Ceremony.eml,Invitation: Garter Ceremony
CROWN00000009,Thomas Cromwell,noise,calendar,(noise),No,,No,No,invite.ics,Invitation — Garter Ceremony
CROWN00000010,King Henry VIII,loose,docx,(loose),No,Internal - Privy Council,No,No,Council_Notes_15250211_henry014.docx,Privy Council Notes — 11 February 1525
CROWN00000011,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,New Quill Procurement Policy  Effective Immediately.eml,New Quill Procurement Policy — Effective Immediately
CROWN00000012,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Quill_Procurement_Policy_Q-1536.docx,Quill Procurement Policy (Form Q-1536)
CROWN00000013,Queen Anne Boleyn,loose,png,(loose),No,,No,No,Portrait_anne_boleyn113.png,Portrait of a Court Musician
CROWN00000014,King Henry VIII,noise,spam_food,(noise),No,,No,No,Lenten Special  No Meat Much Cheese Still Glorious.eml,"Lenten Special — No Meat, Much Cheese, Still Glorious"
CROWN00000015,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  08 Mar 1525.eml,Tudor Times Weekly — 08 Mar 1525
CROWN00000016,Thomas Cromwell,noise,auto_reply,(noise),No,,No,No,Automatic reply The Harvest Levy.eml,Automatic reply: The Harvest Levy
CROWN00000017,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Coronation Banquet.eml,Invitation: Coronation Banquet
CROWN00000018,Queen Anne Boleyn,routine,logistics,(routine),No,Confidential,No,No,Re the victualling of the fleet.eml,Re: the victualling of the fleet
CROWN00000019,Thomas Cromwell,routine,logistics,(routine),No,,No,No,Re the tiltyard schedule.eml,Re: the tiltyard schedule
CROWN00000020,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Grand Joust at the Shrovetide Lists.eml,Invitation: Grand Joust at the Shrovetide Lists
CROWN00000021,Thomas Cromwell,noise,calendar,(noise),No,,No,No,invite.ics,Invitation — Grand Joust at the Shrovetide Lists
CROWN00000022,Thomas Cromwell,routine,report,(routine),No,,No,No,The muster of able men in yorkshire quarterly.eml,The muster of able men in yorkshire (quarterly)
CROWN00000023,Thomas Cromwell,noise,auto_reply,(noise),No,,No,No,Automatic reply The Progress Itinerary.eml,Automatic reply: The Progress Itinerary
CROWN00000024,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  01 Apr 1525.eml,Tudor Times Weekly — 01 Apr 1525
CROWN00000025,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Tudor_Times_Weekly.pdf,Tudor Times Weekly — Full Issue
CROWN00000026,Thomas Cromwell,routine,logistics,(routine),No,,No,No,The muster of able men in sussex  for approval.eml,The muster of able men in sussex — for approval
CROWN00000027,Thomas Cromwell,routine,logistics,(routine),No,,No,No,WorkOrder_rtn-00339.docx,Work Order — the muster of able men in Sussex
CROWN00000028,King Henry VIII,routine,approval,(routine),No,,No,No,Re The muster of able men in sussex  for approval.eml,Re: The muster of able men in sussex — for approval
CROWN00000029,Thomas Cromwell,routine,approval,(routine),No,,No,Yes,Re The muster of able men in sussex  for approval.eml,Re: The muster of able men in sussex — for approval
CROWN00000030,Thomas Cromwell,routine,request,(routine),No,,No,No,Re the repair of the great clock.eml,Re: the repair of the great clock
CROWN00000031,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re the repair of the great clock.eml,Re: the repair of the great clock
CROWN00000032,King Henry VIII,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000033,Thomas Cromwell,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000034,Thomas Cromwell,routine,report,(routine),No,,No,No,Note the tiltyard schedule.eml,Note: the tiltyard schedule
CROWN00000035,King Henry VIII,routine,request,(routine),No,,No,No,The masque costumes.eml,The masque costumes
CROWN00000036,Queen Anne Boleyn,routine,request,(routine),No,,No,No,The christmas revels quarterly.eml,The christmas revels (quarterly)
CROWN00000037,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Reminder Mandatory Doublet  Hose Compliance Training.eml,Reminder: Mandatory Doublet & Hose Compliance Training
CROWN00000038,Queen Anne Boleyn,loose,png,(loose),No,,No,No,Portrait_anne_boleyn125.png,Portrait of an Unknown Nobleman
CROWN00000039,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,Password Rotation Required Change Thy Cipher This Month.eml,Password Rotation Required: Change Thy Cipher This Month
CROWN00000040,Queen Anne Boleyn,routine,logistics,(routine),No,Confidential,No,No,Note the progress to Richmond Palace.eml,Note: the progress to Richmond Palace
CROWN00000041,Thomas Cromwell,noise,auto_reply,(noise),No,,No,No,Automatic reply The Ordnance Accounts.eml,Automatic reply: The Ordnance Accounts
CROWN00000042,Queen Anne Boleyn,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000043,King Henry VIII,noise,it_notice,(noise),No,,No,No,Mailbox Quota Warning Thy Coffer is 90 Full.eml,Mailbox Quota Warning: Thy Coffer is 90% Full
CROWN00000044,King Henry VIII,routine,report,(routine),No,,No,No,The repair of the great clock.eml,The repair of the great clock
CROWN00000045,King Henry VIII,routine,approval,(routine),No,,No,No,Re The repair of the great clock.eml,Re: The repair of the great clock
CROWN00000046,Queen Anne Boleyn,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000047,Thomas Cromwell,routine,concern,(routine),No,,No,No,Note the masque costumes.eml,Note: the masque costumes
CROWN00000048,Queen Anne Boleyn,loose,xlsx,(loose),No,Confidential,No,No,Treasury_Ledger_1525_Christmas_anne_boleyn086.xlsx,Treasury Ledger — Christmas 1525
CROWN00000049,Thomas Cromwell,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000050,King Henry VIII,routine,request,(routine),No,,No,No,Re the ordnance survey.eml,Re: the ordnance survey
CROWN00000051,King Henry VIII,routine,request,(routine),No,,No,No,Invoice_rtn-00350.xlsx,Account — the ordnance survey
CROWN00000052,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Mailbox Quota Warning Thy Coffer is 90 Full.eml,Mailbox Quota Warning: Thy Coffer is 90% Full
CROWN00000053,King Henry VIII,noise,spam_food,(noise),No,,No,No,Lenten Special  No Meat Much Cheese Still Glorious.eml,"Lenten Special — No Meat, Much Cheese, Still Glorious"
CROWN00000054,Thomas Cromwell,routine,request,(routine),No,,No,No,Note the kitchen accounts for the quarter.eml,Note: the kitchen accounts for the quarter
